doc_id,expectation,g1_text,g2_text
27295295,0.995,EZH2,DNMT1
27295295,0.999,DNMT1,EZH2
27270491,0.989,IRAK1,IRAK4
27267067,0.997,CAD,PC
27267067,1,CAD,PC
27226569,0.994,CXCR2,MIF
27226569,0.999,CXCR4,MIF
27226569,1,CD74,MIF
27226569,0.907,MIF,CXCR4
27226569,0.993,CXCL12,CXCR4
27180200,0.953,CXCL17,CXCL1
27180200,0.922,CXCL17,CXCL16
27180200,0.95,CCL19,CXCL16
27180200,0.881,CCL2,CXCL16
27180200,0.851,CXCL10,CXCL16
27180200,0.974,CXCL12,CXCL16
27180200,0.86,CCL4,CXCL16
27180200,0.882,CCL18,CXCL16
27180200,0.93,CXCL17,CCL18
27180200,0.919,CCL19,CCL18
27180200,0.933,CXCL10,CCL18
27180200,0.944,CXCL12,CCL18
27180200,0.872,CCL4,CCL18
27180200,0.93,CCL2,CCL4
27180200,0.924,CXCL12,CCL4
27180200,0.899,CXCL17,CXCL12
27180200,0.924,CCL19,CXCL12
27180200,0.861,CCL2,CXCL12
27180200,0.86,CXCL10,CXCL12
27180200,0.902,CXCL17,CXCL10
27180200,0.858,CCL19,CXCL10
27180200,0.857,CXCL17,CCL2
27180200,0.863,CCL19,CCL2
27180200,0.907,CXCL17,CCL19
27179706,0.978,APOB,MTTP
27166190,0.989,STAT1,IRF1
27166190,0.987,STAT1,IRF1
27166190,0.947,IRF8,IRF1
27166190,0.996,STAT1,STAT3
27166190,0.949,STAT1,STAT2
27098216,0.986,SOD2,CAT
27094595,0.907,APOA1,APOC3
27094595,0.989,APOC3,APOA1
27065298,0.964,CXCR4,CD4
27065298,0.96,CD4,CXCR4
27065298,0.914,CXCR4,CD4
27065298,0.996,CD4,CXCR4
27055906,0.976,CD80,CD28
27055906,0.914,CD80,CD86
27042130,1,CX3CL1,CX3CR1
27029919,0.996,CASP3,BECN1
27021296,0.998,CCR5,CCL5
27021296,1,CCR5,CD4
27021296,0.999,CCR5,CD4
27021296,1,CCR5,CD4
27021296,0.997,CCR5,CD4
26956882,0.996,STAT3,JAK1
26892125,1,LPL,APOC2
26885117,1,TRIB3,ATF4
26885117,0.998,ATF4,TRIB3
26880233,1,CD14,LBP
26880233,1,LBP,CD14
26859195,0.957,FOXO1,AKT1
26859195,0.998,AKT1,FOXO1
26849558,0.987,ADH1B,ADH1C
26843021,0.984,ABCG5,ABCG8
26839314,1,TLR4,TRAF6
26839314,0.985,USP20,TRAF6
26839314,1,TRAF6,USP20
26775120,0.998,CAV1,CAV2
26775120,1,CAV2,CAV1
26775120,0.973,CAV1,CAV2
26742467,0.881,SYK,PTPN6
26710338,0.959,APOE,ACE
26687706,0.913,ABCA1,APOA1
26687706,0.992,LMF1,LPL
26673204,0.963,PLTP,APOA1
26673204,0.979,APOA1,APOC3
26667415,0.853,TRPV1,UCP2
26625143,0.962,MSX2,RUNX2
26625143,0.98,MSX2,RUNX2
26577385,1,TAB2,TNF
26515415,1,S100A8,S100A9
26515415,0.997,S100A8,S100A9
26512959,0.999,TLR4,IRAK1
26512959,1,IRAK1,TLR4
26510953,0.999,APOA1,ABCA1
26504087,1,CD36,STAT1
26462562,0.988,TLR2,CD14
26462562,1,MYD88,TLR2
26409626,1,NPY,NPY1R
26347327,0.993,FGF23,FGFR1
26310581,0.989,COL4A1,CAD
26310581,1,COL4A2,CAD
26310581,0.999,COL4A1,COL4A2
26310581,0.992,COL4A1,COL4A2
26296466,0.968,STAT3,SIRT1
26284456,0.999,CD80,CD86
26284456,1,CD28,CD80
26284456,0.995,CD80,T
26258408,1,CAD,PC
26257740,1,CXCR4,CXCL12
26257740,0.999,CD74,MIF
26188538,0.998,ITGAV,ITGB3
26159646,0.88,ALOX5AP,THBD
26159646,0.916,KNG1,ALOX5AP
26159646,0.957,ALOX5AP,KNG1
26159646,0.954,THBD,KNG1
26159646,0.916,ALOX5AP,THBD
26123579,0.998,CX3CR1,CX3CL1
26123579,1,CX3CL1,CX3CR1
26117055,0.994,CCR5,CD4
26114387,0.902,CXCL12,CXCR4
26110874,0.992,CRH,CRHR1
26110874,1,CRH,CRHR1
26110874,0.999,CRH,ABCA1
26110874,0.972,CRH,ABCA1
26110874,1,CRHR1,ABCA1
26101956,0.956,LPL,VLDLR
26088318,1,MSH2,ATM
26088318,1,ATM,MSH2
26073400,0.949,ABCA1,APOA1
26071221,0.875,CD80,CD86
26071221,0.869,CD80,CD86
26058915,0.997,MUC1,TRPM6
26058915,0.999,MUC1,TRPM6
26045607,0.991,PC,APC
26045607,0.882,PC,APC
26025205,0.909,TBK1,IKBKE
26023346,0.918,ABCA1,APOA1
26020271,0.979,JUN,JUND
26020271,0.993,TCF21,CAD
26020271,0.999,CAD,TCF21
26001930,0.999,EGFR,CTGF
25993995,0.973,DNMT3A,DNMT1
25979856,0.975,APOA1,APOC3
25979856,0.971,APOA1,APOA2
25979856,0.957,APOA1,APOC3
25979856,0.972,APOA1,APOC3
25979856,0.975,APOA1,APOC3
25979856,0.891,APOA1,APOA2
25962658,0.999,CASP3,CASP9
25962658,0.994,CASP3,CASP9
25962658,1,CASP9,CASP3
25962658,0.997,CASP3,CASP9
25946330,0.998,CD4,SYK
25939768,0.958,NOD1,NOD2
25931127,0.994,ATF3,ATF4
25931127,0.997,ATF4,ATF3
25904137,0.984,SRSF1,SRSF2
25902778,0.993,ALOX5AP,LTC4S
25902778,1,CAD,CYP1A1
25889019,1,CCL5,CCR5
25881051,1,TIMP2,MMP2
25880731,0.973,SOD2,CAT
25869607,0.899,COX4I1,COX10
25869517,0.918,MMP9,MMP2
25869517,0.967,MMP9,TNF
25869517,0.982,MMP2,TNF
25845619,0.999,CX3CL1,CX3CR1
25845619,1,CX3CL1,CX3CR1
25845619,0.979,CX3CL1,CX3CR1
25845619,0.98,CX3CL1,CX3CR1
25845619,1,CX3CR1,CX3CL1
25845619,0.996,CX3CL1,CX3CR1
25845619,0.987,CX3CR1,CX3CL1
25845619,0.969,CX3CL1,CX3CR1
25802683,0.999,C3,C5
25790721,1,PC,CAD
25790721,1,CAD,PC
25781951,1,IL6R,IL6
25781951,0.987,IL6R,IL6
25781951,0.982,IL6,IL6R
25781951,0.999,IL6R,IL6
25772935,0.959,F2,F5
25770756,1,CAD,PCSK9
25765819,1,STAT1,CIITA
25765819,1,STAT1,WDR5
25765819,1,CIITA,STAT1
25765938,0.987,CX3CR1,CX3CL1
25721704,0.963,ALOX5,ALOX5AP
25721704,0.996,ALOX5,ALOX5AP
25721704,0.998,ALOX5,ALOX5AP
25721704,0.998,ALOX5AP,ALOX5
25721704,0.985,ALOX5AP,ALOX5
25703835,0.989,OGG1,XRCC1
25703835,0.965,APEX1,XRCC1
25703835,1,OGG1,XRCC1
25699059,1,HAS2,HAS3
25686105,0.991,NLRC4,NLRP1
25686105,1,NLRC4,NLRP3
25661015,1,MIF,CD74
25655932,0.999,NEDD8,SENP8
25586789,0.998,CXCL12,CXCR4
25586789,0.998,CXCL12,CXCR4
25552651,0.86,KNG1,F11
25535478,0.92,TANK,TBK1
25520364,0.95,CCL5,CCL2
25520364,0.999,CCL5,CCL2
25478796,1,STAT1,IRF1
25478796,0.999,IRF8,IRF1
25478796,1,IRF8,IRF1
25468613,0.872,APOA1,ABCA1
25463085,0.875,APOC3,APOA5
25401476,1,GPX1,ROS1
25376901,0.993,PROC,PROCR
25359863,1,CX3CL1,CX3CR1
25359863,1,CX3CR1,CX3CL1
25359863,1,CX3CR1,CX3CL1
25359863,0.999,CX3CR1,CX3CL1
25349649,0.971,ABCA1,ABCG1
25349649,0.916,ABCG1,ABCA1
25286446,0.982,APOC3,APOA1
25286446,0.962,APOC3,APOA1
25273948,0.999,SIRT1,FOXO1
25273948,0.999,SIRT1,FOXO1
25273948,1,SIRT1,FOXO1
25273948,0.972,SIRT1,FOXO1
25273948,1,FOXO1,SIRT1
25273948,0.994,FOXO1,SIRT1
25234562,1,CAD,PCSK9
25164947,0.953,MAPK11,MAPK14
25164947,0.999,MAPK14,MAPK11
25122053,0.988,INO80D,INO80
25096223,0.979,HDAC5,KLF2
25063948,1,CD14,LBP
25013374,0.896,HDAC1,HDAC2
24990231,1,CCR7,CCL19
24990231,1,CCL19,CCR7
24990231,0.994,CCL19,CCR7
24990231,1,CCR7,CCL19
24990231,0.998,CCL19,CCR7
24990231,1,CCR7,CCL19
24990231,0.971,CCL19,CCR7
24989072,0.954,MLX,BUD13
24989072,0.99,MLX,BUD13
24989072,0.979,MLX,BUD13
24989072,0.979,MLX,MLXIPL
24966838,0.999,CXCR4,CXCL12
24747114,0.997,TNF,ZFP36
24924687,1,FASN,SIRT1
24909692,0.992,LMF1,LPL
24909692,1,LPL,LMF1
24909692,0.987,LMF1,LPL
24868552,0.991,CXCR3,CXCL10
24868552,1,CXCL10,CXCR3
24834996,0.98,CD80,CD86
24834996,0.988,CD80,CD86
24834996,0.973,CD80,CD86
24834996,0.998,CD86,CD80
24788416,1,CX3CL1,CX3CR1
24788416,0.976,CX3CL1,CX3CR1
24787906,0.904,CCR5,CD4
24747114,0.976,ZFP36,TNF
24723559,0.992,CXCL12,CXCR4
24709079,0.989,RFX5,HDAC2
24709079,0.996,RFX5,HDAC2
24704626,0.992,APOC2,LPL
24665821,0.987,GCLC,GCLM
24665821,0.862,GCLC,GCLM
24655714,0.867,INSIG1,SCAP
24618883,0.972,CASP1,IL1B
24589565,0.976,APOC2,LPL
24589565,0.98,LMF1,LPL
24589565,0.99,LPL,LMF1
24604418,0.999,JAK2,STAT3
24604418,1,JAK2,STAT3
24518141,1,CCR7,CCL19
24518141,1,CCL19,CCR7
24517390,0.887,ACAT1,ACAT2
24517390,1,ACAT2,ACAT1
24508858,1,TNF,FAS
24485247,0.999,ALOX5AP,PDE4D
24472415,1,TLR4,IRAK1
24462138,0.903,IL8,CXCR1
24453429,0.948,S100A8,S100A9
24453429,0.957,S100A8,S100A9
24453429,0.933,S100A8,S100A9
24451003,1,TXN,TXNIP
24423340,0.866,ABCG5,ABCG8
24423365,0.996,APOB,LIPC
24423365,0.988,FRMD5,LIPC
24423365,0.915,GPAM,LIPC
24423365,0.998,APOA1,APOB
24423365,0.991,ABCA1,APOA1
24401788,0.999,EGF,EGFR
24389598,1,S100A8,S100A9
24389598,0.991,S100A9,S100A8
24388253,0.998,CD4,CCR5
24388253,1,CD19,CCR5
24378567,0.995,WAS,FH
24378567,0.979,USF2,WAS
24378567,0.989,USF2,TF
24378567,1,WAS,TF
24376657,0.959,TLR4,SYK
24376657,0.982,SYK,TLR4
24376657,0.91,TLR4,SYK
24374972,1,CXCR4,CXCL12
25775905,0.926,APOB,PCSK9
25775905,0.901,APOB,PCSK9
24366867,1,XBP1,ATF6
24324141,1,NOD2,TNF
24315498,0.997,NQO1,CAD
24252657,0.994,ABCG8,ABCG5
24252657,0.934,ABCG8,ABCG5
24252657,0.985,ABCG5,ABCG8
24118494,1,CCR5,CCL5
24114205,1,CCR6,CCL20
24107076,1,IL33,IL1RL1
24090198,1,CCL5,CCR5
24090198,1,CCL5,CCR3
24090198,0.992,CCL5,CCR3
24090198,0.999,CCL5,CCR1
24090198,0.996,CCL5,CCR1
24077167,0.886,MYOCD,SRF
24077167,0.876,MYOCD,SRF
24051141,0.999,PROC,PROCR
24051141,1,PROCR,PROC
24051141,1,PROCR,PROC
24007717,1,APOA1,SCARB1
24007717,0.975,APOA1,ABCA1
24007717,0.992,SCARB1,APOA1
24007717,0.958,ABCA1,APOA1
24007717,0.985,ABCA1,APOA1
24007717,0.984,ABCA1,SCARB1
24007717,0.988,APOA1,SCARB1
24007717,1,ABCA1,APOA1
24002940,1,SIRT1,PARP1
23979132,0.97,HAS3,HAS2
23973527,1,CXCL12,CXCR4
23973527,1,CXCL12,CXCR7
23973527,1,CXCL12,CXCR4
23958259,0.951,CD80,CD86
23908111,0.996,PON1,MPO
23898049,0.865,MTTP,PDIA2
23880187,0.907,TLR2,TLR4
23880187,1,TLR2,CD14
23880187,1,CD14,TLR2
23801458,1,PRDX1,PRDX4
23801458,1,PRDX1,PRDX4
23801458,1,PRDX2,PRDX4
23801458,0.992,PRDX1,PRDX2
23801458,0.999,PRDX1,PRDX2
23801458,1,PRDX1,PRDX2
23801458,0.95,PRDX1,PRDX2
23801458,0.998,PRDX4,PRDX1
23801458,0.993,PRDX1,PRDX4
23720662,0.987,CXCR2,MIF
23720662,1,MIF,CXCR4
23659629,0.986,CCR5,CXCR4
23573259,1,TLR2,CD14
23457721,0.999,S100A8,S100A9
23497784,0.969,S100A8,S100A9
23417110,0.979,B2M,HLA-B
23395392,0.993,CD9,CD81
23395392,0.994,CD36,CD9
23244543,0.91,ABCG8,ABCG5
23206693,1,NLRP3,MEFV
23163821,0.996,FOS,JUNB
23163821,0.993,FOS,JUN
23163821,0.978,FOSB,JUN
23163821,0.995,FOS,FOSB
23163821,0.99,JUN,FOS
23163821,0.979,JUN,FOS
23163821,0.992,JUN,FOS
23163821,0.991,FOS,JUN
23083681,1,ADA,DPP4
23025809,0.913,ABCG5,ABCG8
22955445,1,IARS,CAD
22902067,0.98,CCL19,CCR7
22896670,0.999,RXRA,ANGPTL3
22896670,0.998,ANGPTL3,RXRA
22835628,0.998,LTA,LTB
22835628,0.975,LTA,LTB
22822027,0.999,TLR2,TLR1
22815945,0.951,CX3CL1,CX3CR1
22815945,1,CX3CL1,CX3CR1
22815945,1,CCL5,CCR5
22815945,0.995,CCL2,CCL5
22815945,1,CX3CR1,CX3CL1
22815945,1,CX3CR1,CX3CL1
22815945,0.99,CX3CR1,CX3CL1
22815945,0.988,CCL5,CCR5
22815945,0.999,CCL2,CCL5
22815945,1,CX3CR1,CX3CL1
22776094,1,TLR4,SYK
22776094,0.997,SYK,TLR4
22776094,1,SYK,TLR4
22776094,1,SYK,TLR4
22776094,1,SYK,TLR4
22763266,0.992,CXCR3,PF4
22763266,0.999,CX3CR1,CX3CL1
22752444,0.863,CCL5,CCR1
22731642,0.979,CAD,CX3CR1
22711477,0.988,CD44,STAT3
22706276,0.889,CDKN2A,CDKN2B
22703881,0.915,F11,KNG1
22701019,0.978,KNG1,F11
22701019,1,F11,KNG1
22685397,0.953,RIPK1,TNF
